video_name,class
17RuimSinalizador06-1.pt,Ruim
19VacinaSinalizador10-1.pt,Vacina
12EspelhoSinalizador06-2.pt,Espelho
06BalaSinalizador05-1.pt,Bala
19VacinaSinalizador06-1.pt,Vacina
19VacinaSinalizador11-2.pt,Vacina
15MacaSinalizador08-4.pt,Maca
07BancoSinalizador11-2.pt,Banco
07BancoSinalizador06-1.pt,Banco
11ConhecerSinalizador05-1.pt,Conhecer
03AmareloSinalizador02-1.pt,Amarelo
20VontadeSinalizador10-1.pt,Vontade
08BanheiroSinalizador11-4.pt,Banheiro
07BancoSinalizador10-4.pt,Banco
10CincoSinalizador10-1.pt,Cinco
06BalaSinalizador01-2.pt,Bala
11ConhecerSinalizador01-1.pt,Conhecer
08BanheiroSinalizador10-2.pt,Banheiro
15MacaSinalizador02-2.pt,Maca
02AlunoSinalizador01-4.pt,Aluno
07BancoSinalizador02-2.pt,Banco
18SapoSinalizador01-1.pt,Sapo
17RuimSinalizador12-1.pt,Ruim
09BarulhoSinalizador01-1.pt,Barulho
08BanheiroSinalizador12-2.pt,Banheiro
06BalaSinalizador08-1.pt,Bala
17RuimSinalizador01-4.pt,Ruim
15MacaSinalizador05-1.pt,Maca
06BalaSinalizador01-4.pt,Bala
15MacaSinalizador02-4.pt,Maca
01AcontecerSinalizador11-2.pt,Acontecer
08BanheiroSinalizador12-4.pt,Banheiro
02AlunoSinalizador11-1.pt,Aluno
05AproveitarSinalizador06-2.pt,Aproveitar
04AmericaSinalizador01-1.pt,America
09BarulhoSinalizador05-1.pt,Barulho
20VontadeSinalizador10-2.pt,Vontade
14FilhoSinalizador01-2.pt,Filho
04AmericaSinalizador01-2.pt,America
10CincoSinalizador12-1.pt,Cinco
02AlunoSinalizador10-2.pt,Aluno
07BancoSinalizador01-4.pt,Banco
13EsquinaSinalizador08-2.pt,Esquina
13EsquinaSinalizador11-1.pt,Esquina
01AcontecerSinalizador01-4.pt,Acontecer
17RuimSinalizador08-2.pt,Ruim
14FilhoSinalizador08-2.pt,Filho
10CincoSinalizador08-4.pt,Cinco
07BancoSinalizador02-4.pt,Banco
13EsquinaSinalizador10-1.pt,Esquina
20VontadeSinalizador08-2.pt,Vontade
02AlunoSinalizador11-2.pt,Aluno
09BarulhoSinalizador05-2.pt,Barulho
10CincoSinalizador02-2.pt,Cinco
06BalaSinalizador05-2.pt,Bala
16MedoSinalizador10-2.pt,Medo
13EsquinaSinalizador12-1.pt,Esquina
14FilhoSinalizador08-4.pt,Filho
02AlunoSinalizador12-2.pt,Aluno
07BancoSinalizador05-2.pt,Banco
02AlunoSinalizador08-1.pt,Aluno
13EsquinaSinalizador01-1.pt,Esquina
20VontadeSinalizador05-4.pt,Vontade
14FilhoSinalizador11-4.pt,Filho
10CincoSinalizador10-4.pt,Cinco
18SapoSinalizador12-1.pt,Sapo
01AcontecerSinalizador02-2.pt,Acontecer
17RuimSinalizador10-1.pt,Ruim
05AproveitarSinalizador11-2.pt,Aproveitar
09BarulhoSinalizador11-4.pt,Barulho
15MacaSinalizador01-4.pt,Maca
06BalaSinalizador12-4.pt,Bala
18SapoSinalizador11-2.pt,Sapo
07BancoSinalizador10-2.pt,Banco
05AproveitarSinalizador01-1.pt,Aproveitar
05AproveitarSinalizador05-4.pt,Aproveitar
07BancoSinalizador12-2.pt,Banco
16MedoSinalizador02-1.pt,Medo
09BarulhoSinalizador08-1.pt,Barulho
16MedoSinalizador10-4.pt,Medo
14FilhoSinalizador10-4.pt,Filho
07BancoSinalizador05-1.pt,Banco
07BancoSinalizador10-1.pt,Banco
04AmericaSinalizador05-2.pt,America
19VacinaSinalizador08-4.pt,Vacina
12EspelhoSinalizador02-1.pt,Espelho
18SapoSinalizador05-4.pt,Sapo
17RuimSinalizador06-4.pt,Ruim
19VacinaSinalizador01-1.pt,Vacina
02AlunoSinalizador05-4.pt,Aluno
17RuimSinalizador11-1.pt,Ruim
15MacaSinalizador08-2.pt,Maca
06BalaSinalizador02-1.pt,Bala
13EsquinaSinalizador08-1.pt,Esquina
03AmareloSinalizador11-2.pt,Amarelo
13EsquinaSinalizador02-4.pt,Esquina
14FilhoSinalizador12-1.pt,Filho
13EsquinaSinalizador08-4.pt,Esquina
18SapoSinalizador05-2.pt,Sapo
09BarulhoSinalizador12-1.pt,Barulho
07BancoSinalizador08-1.pt,Banco
11ConhecerSinalizador12-1.pt,Conhecer
02AlunoSinalizador02-4.pt,Aluno
12EspelhoSinalizador12-1.pt,Espelho
18SapoSinalizador11-4.pt,Sapo
14FilhoSinalizador02-1.pt,Filho
12EspelhoSinalizador12-2.pt,Espelho
12EspelhoSinalizador01-2.pt,Espelho
06BalaSinalizador06-2.pt,Bala
19VacinaSinalizador12-4.pt,Vacina
20VontadeSinalizador08-4.pt,Vontade
10CincoSinalizador06-4.pt,Cinco
18SapoSinalizador05-1.pt,Sapo
17RuimSinalizador11-2.pt,Ruim
12EspelhoSinalizador11-4.pt,Espelho
07BancoSinalizador01-1.pt,Banco
07BancoSinalizador12-1.pt,Banco
03AmareloSinalizador12-2.pt,Amarelo
06BalaSinalizador02-4.pt,Bala
09BarulhoSinalizador11-1.pt,Barulho
14FilhoSinalizador10-1.pt,Filho
10CincoSinalizador02-4.pt,Cinco
19VacinaSinalizador02-2.pt,Vacina
14FilhoSinalizador05-1.pt,Filho
10CincoSinalizador12-2.pt,Cinco
18SapoSinalizador06-4.pt,Sapo
20VontadeSinalizador12-4.pt,Vontade
16MedoSinalizador12-1.pt,Medo
08BanheiroSinalizador06-2.pt,Banheiro
09BarulhoSinalizador01-4.pt,Barulho
04AmericaSinalizador05-4.pt,America
09BarulhoSinalizador11-2.pt,Barulho
01AcontecerSinalizador12-1.pt,Acontecer
02AlunoSinalizador06-4.pt,Aluno
01AcontecerSinalizador05-1.pt,Acontecer
16MedoSinalizador05-1.pt,Medo
02AlunoSinalizador10-1.pt,Aluno
04AmericaSinalizador02-2.pt,America
13EsquinaSinalizador11-2.pt,Esquina
10CincoSinalizador10-2.pt,Cinco
15MacaSinalizador11-1.pt,Maca
11ConhecerSinalizador11-2.pt,Conhecer
12EspelhoSinalizador05-2.pt,Espelho
13EsquinaSinalizador12-2.pt,Esquina
18SapoSinalizador02-1.pt,Sapo
19VacinaSinalizador06-4.pt,Vacina
18SapoSinalizador08-1.pt,Sapo
01AcontecerSinalizador01-1.pt,Acontecer
09BarulhoSinalizador05-4.pt,Barulho
14FilhoSinalizador06-1.pt,Filho
20VontadeSinalizador12-1.pt,Vontade
14FilhoSinalizador02-4.pt,Filho
11ConhecerSinalizador10-4.pt,Conhecer
04AmericaSinalizador06-1.pt,America
09BarulhoSinalizador10-2.pt,Barulho
02AlunoSinalizador06-1.pt,Aluno
08BanheiroSinalizador10-4.pt,Banheiro
03AmareloSinalizador05-1.pt,Amarelo
04AmericaSinalizador01-4.pt,America
01AcontecerSinalizador05-2.pt,Acontecer
05AproveitarSinalizador12-4.pt,Aproveitar
03AmareloSinalizador06-1.pt,Amarelo
04AmericaSinalizador08-4.pt,America
14FilhoSinalizador02-2.pt,Filho
17RuimSinalizador02-4.pt,Ruim
06BalaSinalizador01-1.pt,Bala
15MacaSinalizador06-4.pt,Maca
15MacaSinalizador10-1.pt,Maca
20VontadeSinalizador10-4.pt,Vontade
11ConhecerSinalizador02-4.pt,Conhecer
07BancoSinalizador11-1.pt,Banco
18SapoSinalizador11-1.pt,Sapo
01AcontecerSinalizador08-4.pt,Acontecer
16MedoSinalizador05-4.pt,Medo
04AmericaSinalizador02-4.pt,America
16MedoSinalizador11-4.pt,Medo
06BalaSinalizador06-1.pt,Bala
20VontadeSinalizador01-2.pt,Vontade
13EsquinaSinalizador06-4.pt,Esquina
19VacinaSinalizador02-4.pt,Vacina
02AlunoSinalizador02-1.pt,Aluno
14FilhoSinalizador08-1.pt,Filho
08BanheiroSinalizador06-1.pt,Banheiro
11ConhecerSinalizador12-4.pt,Conhecer
18SapoSinalizador12-4.pt,Sapo
12EspelhoSinalizador08-2.pt,Espelho
05AproveitarSinalizador11-4.pt,Aproveitar
03AmareloSinalizador01-1.pt,Amarelo
19VacinaSinalizador02-1.pt,Vacina
07BancoSinalizador06-2.pt,Banco
15MacaSinalizador08-1.pt,Maca
08BanheiroSinalizador02-4.pt,Banheiro
16MedoSinalizador01-2.pt,Medo
07BancoSinalizador08-2.pt,Banco
16MedoSinalizador08-4.pt,Medo
09BarulhoSinalizador10-4.pt,Barulho
01AcontecerSinalizador08-2.pt,Acontecer
13EsquinaSinalizador11-4.pt,Esquina
17RuimSinalizador11-4.pt,Ruim
17RuimSinalizador01-1.pt,Ruim
05AproveitarSinalizador08-1.pt,Aproveitar
16MedoSinalizador06-4.pt,Medo
05AproveitarSinalizador05-1.pt,Aproveitar
03AmareloSinalizador08-4.pt,Amarelo
03AmareloSinalizador12-1.pt,Amarelo
10CincoSinalizador05-4.pt,Cinco
02AlunoSinalizador12-4.pt,Aluno
11ConhecerSinalizador06-1.pt,Conhecer
10CincoSinalizador11-1.pt,Cinco
08BanheiroSinalizador12-1.pt,Banheiro
04AmericaSinalizador02-1.pt,America
07BancoSinalizador08-4.pt,Banco
17RuimSinalizador01-2.pt,Ruim
09BarulhoSinalizador06-1.pt,Barulho
14FilhoSinalizador11-2.pt,Filho
11ConhecerSinalizador10-2.pt,Conhecer
10CincoSinalizador01-4.pt,Cinco
08BanheiroSinalizador01-4.pt,Banheiro
08BanheiroSinalizador08-4.pt,Banheiro
16MedoSinalizador06-1.pt,Medo
07BancoSinalizador11-4.pt,Banco
06BalaSinalizador08-2.pt,Bala
10CincoSinalizador02-1.pt,Cinco
18SapoSinalizador06-1.pt,Sapo
04AmericaSinalizador05-1.pt,America
05AproveitarSinalizador02-4.pt,Aproveitar
10CincoSinalizador01-2.pt,Cinco
02AlunoSinalizador05-1.pt,Aluno
04AmericaSinalizador10-1.pt,America
07BancoSinalizador01-2.pt,Banco
14FilhoSinalizador05-2.pt,Filho
17RuimSinalizador10-2.pt,Ruim
18SapoSinalizador02-2.pt,Sapo
18SapoSinalizador06-2.pt,Sapo
06BalaSinalizador11-2.pt,Bala
15MacaSinalizador05-2.pt,Maca
13EsquinaSinalizador06-2.pt,Esquina
13EsquinaSinalizador02-1.pt,Esquina
15MacaSinalizador01-1.pt,Maca
12EspelhoSinalizador12-4.pt,Espelho
03AmareloSinalizador10-1.pt,Amarelo
16MedoSinalizador02-2.pt,Medo
17RuimSinalizador12-2.pt,Ruim
12EspelhoSinalizador08-4.pt,Espelho
10CincoSinalizador06-2.pt,Cinco
12EspelhoSinalizador10-2.pt,Espelho
08BanheiroSinalizador08-2.pt,Banheiro
15MacaSinalizador01-2.pt,Maca
20VontadeSinalizador12-2.pt,Vontade
08BanheiroSinalizador05-1.pt,Banheiro
08BanheiroSinalizador11-2.pt,Banheiro
12EspelhoSinalizador01-4.pt,Espelho
13EsquinaSinalizador10-2.pt,Esquina
05AproveitarSinalizador01-2.pt,Aproveitar
12EspelhoSinalizador11-1.pt,Espelho
05AproveitarSinalizador02-2.pt,Aproveitar
07BancoSinalizador02-1.pt,Banco
04AmericaSinalizador11-2.pt,America
15MacaSinalizador05-4.pt,Maca
11ConhecerSinalizador01-4.pt,Conhecer
18SapoSinalizador10-4.pt,Sapo
13EsquinaSinalizador05-1.pt,Esquina
16MedoSinalizador10-1.pt,Medo
08BanheiroSinalizador06-4.pt,Banheiro
04AmericaSinalizador11-1.pt,America
06BalaSinalizador02-2.pt,Bala
01AcontecerSinalizador10-4.pt,Acontecer
15MacaSinalizador02-1.pt,Maca
06BalaSinalizador06-4.pt,Bala
07BancoSinalizador12-4.pt,Banco
15MacaSinalizador12-2.pt,Maca
12EspelhoSinalizador01-1.pt,Espelho
12EspelhoSinalizador10-4.pt,Espelho
20VontadeSinalizador06-4.pt,Vontade
02AlunoSinalizador12-1.pt,Aluno
09BarulhoSinalizador12-4.pt,Barulho
01AcontecerSinalizador12-2.pt,Acontecer
05AproveitarSinalizador01-4.pt,Aproveitar
09BarulhoSinalizador12-2.pt,Barulho
03AmareloSinalizador10-2.pt,Amarelo
15MacaSinalizador10-2.pt,Maca
20VontadeSinalizador05-2.pt,Vontade
19VacinaSinalizador08-2.pt,Vacina
09BarulhoSinalizador01-2.pt,Barulho
02AlunoSinalizador01-1.pt,Aluno
01AcontecerSinalizador02-1.pt,Acontecer
20VontadeSinalizador05-1.pt,Vontade
20VontadeSinalizador02-2.pt,Vontade
17RuimSinalizador02-1.pt,Ruim
10CincoSinalizador06-1.pt,Cinco
07BancoSinalizador06-4.pt,Banco
01AcontecerSinalizador06-4.pt,Acontecer
16MedoSinalizador08-2.pt,Medo
16MedoSinalizador06-2.pt,Medo
18SapoSinalizador01-2.pt,Sapo
16MedoSinalizador12-2.pt,Medo
15MacaSinalizador12-4.pt,Maca
20VontadeSinalizador11-1.pt,Vontade
06BalaSinalizador10-4.pt,Bala
08BanheiroSinalizador10-1.pt,Banheiro
18SapoSinalizador10-1.pt,Sapo
06BalaSinalizador11-4.pt,Bala
12EspelhoSinalizador06-1.pt,Espelho
01AcontecerSinalizador06-1.pt,Acontecer
06BalaSinalizador12-2.pt,Bala
10CincoSinalizador11-4.pt,Cinco
03AmareloSinalizador11-4.pt,Amarelo
06BalaSinalizador10-2.pt,Bala
12EspelhoSinalizador02-2.pt,Espelho
05AproveitarSinalizador05-2.pt,Aproveitar
03AmareloSinalizador11-1.pt,Amarelo
10CincoSinalizador08-2.pt,Cinco
03AmareloSinalizador08-2.pt,Amarelo
20VontadeSinalizador06-1.pt,Vontade
19VacinaSinalizador01-2.pt,Vacina
19VacinaSinalizador06-2.pt,Vacina
19VacinaSinalizador11-1.pt,Vacina
13EsquinaSinalizador06-1.pt,Esquina
04AmericaSinalizador10-4.pt,America
08BanheiroSinalizador08-1.pt,Banheiro
09BarulhoSinalizador02-4.pt,Barulho
09BarulhoSinalizador08-4.pt,Barulho
13EsquinaSinalizador05-4.pt,Esquina
15MacaSinalizador12-1.pt,Maca
18SapoSinalizador01-4.pt,Sapo
17RuimSinalizador05-1.pt,Ruim
05AproveitarSinalizador02-1.pt,Aproveitar
19VacinaSinalizador10-2.pt,Vacina
03AmareloSinalizador10-4.pt,Amarelo
11ConhecerSinalizador11-4.pt,Conhecer
03AmareloSinalizador01-4.pt,Amarelo
01AcontecerSinalizador11-1.pt,Acontecer
02AlunoSinalizador11-4.pt,Aluno
14FilhoSinalizador06-2.pt,Filho
02AlunoSinalizador10-4.pt,Aluno
05AproveitarSinalizador10-1.pt,Aproveitar
20VontadeSinalizador01-4.pt,Vontade
16MedoSinalizador05-2.pt,Medo
02AlunoSinalizador08-4.pt,Aluno
06BalaSinalizador05-4.pt,Bala
11ConhecerSinalizador12-2.pt,Conhecer
06BalaSinalizador10-1.pt,Bala
05AproveitarSinalizador06-4.pt,Aproveitar
08BanheiroSinalizador01-1.pt,Banheiro
10CincoSinalizador12-4.pt,Cinco
01AcontecerSinalizador10-2.pt,Acontecer
15MacaSinalizador11-2.pt,Maca
16MedoSinalizador01-1.pt,Medo
04AmericaSinalizador08-1.pt,America
14FilhoSinalizador05-4.pt,Filho
03AmareloSinalizador08-1.pt,Amarelo
13EsquinaSinalizador10-4.pt,Esquina
